time	type	x	y
30	0	0	30
30	1	500	30
50	0	0	30
50	1	500	30
70	0	0	30
70	1	500	30
90	0	0	30
90	1	500	30
110	0	0	30
110	1	500	30
130	0	0	30
130	1	500	30
150	0	0	30
150	1	500	30
170	0	0	30
170	1	500	30
330	2	0	30
340	2	0	30
350	2	0	30
360	2	0	30
370	2	0	30
380	2	0	30
390	2	0	30
400	2	0	30
500	3	500	30
510	3	500	30
520	3	500	30
530	3	500	30
540	3	500	30
550	3	500	30
560	3	500	30
570	3	500	30
650	4	90	0
650	5	410	0
650	4	90	0
650	5	410	0
800	37	0	0
800	38	520	0
830	37	0	0
830	38	520	0
860	37	0	0
860	38	520	0
890	37	0	0
890	38	520	0
920	37	0	0
920	38	520	0
950	37	0	0
950	38	520	0
1100	6	30	600
1100	7	490	600
1105	6	30	600
1105	7	490	600
1110	6	30	600
1110	7	490	600
1115	6	30	600
1115	7	490	600
1300	8	250	0
1500	39	0	60
1500	40	520	90
1650	9	100	0
1650	10	420	0
1800	41	0	30
1800	42	520	60
1850	41	0	30
1850	42	520	60
1900	41	0	30
1900	42	520	60
2030	11	0	50
2030	12	520	50
2040	11	0	50
2040	12	520	50
2050	11	0	50
2050	12	520	50
2060	11	0	50
2060	12	520	50
2230	13	0	100
2230	14	520	100
2380	15	30	600
2380	15	490	600
2600	16	30	0
2600	16	490	0
2600	17	183	0
2600	17	336	0
2800	43	0	0
2800	44	520	0
2830	43	0	0
2830	44	520	0
2860	43	0	0
2860	44	520	0
3030	18	30	0
3030	19	490	0
3035	18	30	0
3035	19	490	0
3040	18	30	0
3040	19	490	0
3045	18	30	0
3045	19	490	0
3200	20	30	0
3200	20	490	0
3230	21	183	0
3230	21	336	0
3500	22	260	0
3800	23	0	60
3800	24	0	300
3800	25	520	60
3800	26	520	300
4100	27	0	200
4100	28	520	200
4130	29	260	0
4700	30	0	0
4700	31	520	0
4710	30	0	0
4710	31	520	0
4720	30	0	0
4720	31	520	0
4730	30	0	0
4730	31	520	0
4740	30	0	0
4740	31	520	0
4750	30	0	0
4750	31	520	0
4760	30	0	0
4760	31	520	0
4770	30	0	0
4770	31	520	0
4780	30	0	0
4780	31	520	0
4790	30	0	0
4790	31	520	0
5000	32	260	0
5000	36	260	0
5150	33	173	0
5150	33	346	0
5300	34	130	0
5300	34	260	0
5300	34	390	0
5300	34	195	0
5300	34	325	0
5450	35	104	0
5450	35	208	0
5450	35	312	0
5450	35	416	0
