#SKIN	ITEM	XV	YV	SCORE	BLOOD	BULLET	TYPE	MODE	PERIOD
0	0	5	0	1000	10	0	7	0	10
1	0	-5	0	1000	10	1	7	0	10
2	0	10	0	1000	10	2	1	0	1
3	0	-10	0	1000	10	3	1	0	1
4	1	0	5	1000	500	2	2	1	1
5	1	0	5	1000	500	3	2	1	1
6	0	4	-30	1000	100	0	1	2	7
7	0	-4	-30	1000	100	1	1	2	7
8	0	0	5	1000	500	4	4	1	3
0	1	0	3	1000	500	5	5	1	1
1	1	0	3	1000	500	5	5	1	1
2	0	3	3	1000	10	6	6	0	5
3	0	-3	3	1000	10	6	6	0	5
4	0	5	0	1000	10	7	3	0	10
5	0	-5	0	1000	10	7	3	0	10
6	0	0	-5	1000	10	8	6	0	5
7	1	0	3	1000	500	9	6	1	7
8	1	0	3	1000	500	9	3	1	7
1	0	5	20	1000	100	10	1	2	5
0	0	-5	20	1000	100	10	1	2	5
1	0	0	5	1000	500	8	6	1	2
2	0	0	2	1000	500	0	4	1	3
3	3	0	3	1000	500	11	7	1	3
4	0	9	4	1000	500	0	2	1	3
5	0	9	-4	1000	500	0	2	1	3
6	1	-9	4	1000	500	0	2	1	2
7	1	-9	-4	1000	500	0	2	1	2
8	0	1	0	1000	10	7	3	0	25
0	0	-1	0	1000	10	7	3	0	25
1	0	0	1	1000	500	8	3	1	7
2	0	3	6	1000	10	2	2	0	5
3	0	-3	6	1000	10	3	2	0	2
4	2	0	5	1000	500	8	3	1	2
5	0	0	2	1000	500	11	7	1	4
6	1	0	3	1000	500	2	5	1	1
7	3	0	4	1000	500	8	4	1	5
8	1	0	5	1000	500	12	2	1	2
0	0	2	2	1000	10	0	0	0	3
0	0	-2	2	1000	10	0	0	0	3
0	0	7	0	1000	10	13	2	0	1
0	0	-7	0	1000	10	14	2	0	1
0	0	5	0	1000	10	9	0	0	3
0	0	-5	0	1000	10	9	0	0	3
0	0	5	30	1000	100	1	6	2	5
0	0	-5	30	1000	100	1	6	2	5
